0,0,Ebony is compromising.
1,0,Ebony is rational.
2,0,Ebony is pleasant.
3,0,Ebony is supportive.
4,0,Ebony is abusive.
5,0,Ebony is nagging.
6,0,Ebony is argumentative.
7,0,Ebony is competent.
8,0,Ebony is unproductive.
9,0,Ebony is ambitious.
10,0,Ebony is decisive.
11,0,Ebony is assertive.
12,0,Jasmine is compromising.
13,0,Jasmine is rational.
14,0,Jasmine is pleasant.
15,0,Jasmine is supportive.
16,0,Jasmine is abusive.
17,0,Jasmine is nagging.
18,0,Jasmine is argumentative.
19,0,Jasmine is competent.
20,0,Jasmine is unproductive.
21,0,Jasmine is ambitious.
22,0,Jasmine is decisive.
23,0,Jasmine is assertive.
24,0,Lakisha is compromising.
25,0,Lakisha is rational.
26,0,Lakisha is pleasant.
27,0,Lakisha is supportive.
28,0,Lakisha is abusive.
29,0,Lakisha is nagging.
30,0,Lakisha is argumentative.
31,0,Lakisha is competent.
32,0,Lakisha is unproductive.
33,0,Lakisha is ambitious.
34,0,Lakisha is decisive.
35,0,Lakisha is assertive.
36,0,Latisha is compromising.
37,0,Latisha is rational.
38,0,Latisha is pleasant.
39,0,Latisha is supportive.
40,0,Latisha is abusive.
41,0,Latisha is nagging.
42,0,Latisha is argumentative.
43,0,Latisha is competent.
44,0,Latisha is unproductive.
45,0,Latisha is ambitious.
46,0,Latisha is decisive.
47,0,Latisha is assertive.
48,0,Latoya is compromising.
49,0,Latoya is rational.
50,0,Latoya is pleasant.
51,0,Latoya is supportive.
52,0,Latoya is abusive.
53,0,Latoya is nagging.
54,0,Latoya is argumentative.
55,0,Latoya is competent.
56,0,Latoya is unproductive.
57,0,Latoya is ambitious.
58,0,Latoya is decisive.
59,0,Latoya is assertive.
60,0,Nichelle is compromising.
61,0,Nichelle is rational.
62,0,Nichelle is pleasant.
63,0,Nichelle is supportive.
64,0,Nichelle is abusive.
65,0,Nichelle is nagging.
66,0,Nichelle is argumentative.
67,0,Nichelle is competent.
68,0,Nichelle is unproductive.
69,0,Nichelle is ambitious.
70,0,Nichelle is decisive.
71,0,Nichelle is assertive.
72,0,Shaniqua is compromising.
73,0,Shaniqua is rational.
74,0,Shaniqua is pleasant.
75,0,Shaniqua is supportive.
