id,prediction
0,-0.1373770818821248
1,-0.1373770818821248
2,-0.1373770818821248
3,-0.1373770818821248
4,-0.1373770818821248
5,-0.1373770818821248
6,-0.1373770818821248
7,-0.1373770818821248
8,-0.1373770818821248
9,-0.1373770818821248
10,-0.1373770818821248
11,-0.1373770818821248
12,-0.1373770818821248
13,-0.1373770818821248
14,-0.1373770818821248
15,-0.1373770818821248
16,-0.1373770818821248
17,-0.1373770818821248
18,-0.1373770818821248
19,-0.1373770818821248
20,-0.1373770818821248
21,-0.1373770818821248
22,-0.1373770818821248
23,-0.1373770818821248
24,-0.1373770818821248
25,-0.1373770818821248
26,-0.1373770818821248
27,-0.1373770818821248
28,-0.1373770818821248
29,-0.1373770818821248
30,-0.1373770818821248
31,-0.1373770818821248
32,-0.1373770818821248
33,-0.1373770818821248
34,-0.1373770818821248
35,-0.1373770818821248
36,-0.1373770818821248
37,-0.1373770818821248
38,-0.1373770818821248
39,-0.1373770818821248
40,-0.1373770818821248
41,-0.1373770818821248
42,-0.1373770818821248
43,-0.1373770818821248
44,-0.1373770818821248
45,-0.1373770818821248
46,-0.1373770818821248
47,-0.1373770818821248
48,-0.1373770818821248
49,-0.1373770818821248
50,-0.1373770818821248
51,-0.1373770818821248
52,-0.1373770818821248
53,-0.1373770818821248
54,-0.1373770818821248
55,-0.1373770818821248
56,-0.03293186749244296
57,-0.03293186749244296
58,-0.03293186749244296
59,-0.03293186749244296
60,-0.03293186749244296
61,-0.03293186749244296
62,-0.03293186749244296
63,-0.03293186749244296
64,-0.03293186749244296
65,-0.03293186749244296
66,-0.03293186749244296
67,-0.03293186749244296
68,-0.03293186749244296
69,-0.03293186749244296
70,-0.03293186749244296
71,-0.03293186749244296
72,-0.03293186749244296
73,-0.03293186749244296
74,-0.03293186749244296
75,-0.03293186749244296
76,-0.03293186749244296
77,-0.03293186749244296
78,-0.03293186749244296
79,-0.03293186749244296
80,-0.03293186749244296
81,-0.03293186749244296
82,-0.03293186749244296
83,-0.03293186749244296
84,-0.03293186749244296
85,-0.03293186749244296
86,-0.03293186749244296
87,-0.03293186749244296
88,-0.03293186749244296
89,-0.03293186749244296
90,-0.03293186749244296
91,-0.03293186749244296
92,-0.03293186749244296
93,-0.03293186749244296
94,-0.03293186749244296
95,-0.03293186749244296
96,-0.03293186749244296
97,-0.03293186749244296
98,-0.03293186749244296
99,-0.03293186749244296
100,-0.03293186749244296
101,-0.03293186749244296
102,-0.03293186749244296
103,-0.03293186749244296
104,-0.03293186749244296
105,-0.03293186749244296
106,-0.03293186749244296
107,-0.03293186749244296
108,-0.03293186749244296
109,-0.03293186749244296
110,-0.03293186749244296
111,-0.03293186749244296
112,-0.06518997474221114
113,-0.06518997474221114
114,-0.06518997474221114
115,-0.06518997474221114
116,-0.06518997474221114
117,-0.06518997474221114
118,-0.06518997474221114
119,-0.06518997474221114
120,-0.06518997474221114
121,-0.06518997474221114
122,-0.06518997474221114
123,-0.06518997474221114
124,-0.06518997474221114
125,-0.06518997474221114
126,-0.06518997474221114
127,-0.06518997474221114
128,-0.06518997474221114
129,-0.06518997474221114
130,-0.06518997474221114
