ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word,Polarity,bert_sentiment,bert_score,blob_sentiment,blob_score,affect_sentiment,affect_score,affectw0_sentiment,affectw0_score,affectreg_sentiment,affectreg_score,berttweet_sentiment,berttweet_score
2018-En-mystery-05498,Alonzo feels angry.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,angry,0.0,1.0,0.9644181728363036,1.0,0.5688510991289922,0.0,0.022000000000000002,0.0,0.44299999999999995,0.0,0.0,0.0,0.023948680609464645
2018-En-mystery-11722,Alonzo feels furious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,furious,0.0,1.0,0.9803372621536256,1.0,0.744005641748942,0.0,0.003,0.0,0.19699999999999998,0.0,0.0,0.0,0.035642530769109726
2018-En-mystery-11364,Alonzo feels irritated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,irritated,0.0,1.0,0.833215594291687,0.0,0.4773755656108598,0.0,0.009000000000000001,0.0,0.408,0.0,0.0,0.0,0.029035700485110283
2018-En-mystery-14320,Alonzo feels enraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,enraged,0.0,1.0,0.9513233304023744,1.0,0.7489858012170384,0.0,0.009000000000000001,0.0,0.408,0.0,0.0,0.0,0.03284700959920883
2018-En-mystery-14114,Alonzo feels annoyed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,annoyed,0.0,1.0,0.8762276768684387,0.0,0.3981132075471697,0.0,0.013000000000000001,0.0,0.384,0.0,0.0,0.0,0.03430985286831856
2018-En-mystery-09419,Alonzo feels sad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,sad,0.0,1.0,0.981828272342682,1.0,0.5411717062634985,0.0,0.001,0.0,0.212,0.0,0.0,0.0,0.024790672585368156
2018-En-mystery-16791,Alonzo feels depressed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,depressed,0.0,1.0,0.9540385603904724,1.0,0.51446107280982,0.0,0.004,0.0,0.38299999999999995,0.0,0.0,0.0,0.015507249161601067
2018-En-mystery-10775,Alonzo feels devastated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,devastated,0.0,1.0,0.9871644973754884,0.0,0.3675958188153308,0.0,0.009000000000000001,0.0,0.408,0.0,0.0,0.0,0.034005582332611084
2018-En-mystery-00419,Alonzo feels miserable.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,miserable,0.0,1.0,0.9531310200691224,0.0,0.4428727870049277,0.0,0.009000000000000001,0.0,0.408,0.0,0.0,0.0,0.021177485585212708
2018-En-mystery-11781,Alonzo feels disappointed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,disappointed,0.0,1.0,0.9360740780830384,1.0,0.6806451612903224,0.0,0.009000000000000001,0.0,0.47100000000000003,0.0,0.0,0.0,0.025138981640338898
